team,nationality,position,age,potential,name
Manchester City ,Spain,Medio Centro Defensivo|Medio Centro,24,Muy bueno,Rodri
Ajax ,Cameroon,Portero,24,Muy bueno,André Onana
Real Betis ,France,Delantero Centro|Medio Derecho|Medio Centro Ofensivo,27,Muy bueno,Nabil Fekir
Atlético Madrid ,Uruguay,Defensa Central,25,Muy bueno,José María Giménez
Atlético Madrid ,Spain,LB|Medio Izquierdo|Medio Centro,25,Muy bueno,Saúl
FC Bayern München ,Germany,Medio Derecho|Medio Izquierdo|Extremo Derecho,25,Muy bueno,Serge Gnabry
FC Barcelona ,France,Defensa Central,26,Muy bueno,Samuel Umtiti
Real Madrid ,Spain,Lateral Derecho,28,Muy bueno,Carvajal
Lazio ,Spain,Medio Centro|Medio Centro Ofensivo|Media Punta,27,Muy bueno,Luis Alberto
Inter ,Netherlands,Defensa Central,28,Muy bueno,Stefan de Vrij
SL Benfica ,Portugal,Medio Derecho|Medio Centro,30,Muy bueno,Pizzi
Real Madrid ,Spain,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,28,Muy bueno,Isco
RC Celta ,Spain,Delantero Centro|Extremo Derecho,32,Muy bueno,Iago Aspas
Arsenal ,Germany,Portero,28,Muy bueno,Bernd Leno
FC Bayern München ,Germany,Medio Derecho|Medio Centro Ofensivo|Extremo Derecho,30,Muy bueno,Thomas Müller
FC Bayern München ,Brazil,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,28,Muy bueno,Coutinho
Borussia Dortmund ,Switzerland,Portero,29,Muy bueno,Roman Bürki
Guangzhou Evergrande Taobao FC ,Brazil,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,32,Muy bueno,Paulinho
RB Leipzig ,Hungary,Portero,30,Muy bueno,Péter Gulácsi
Liverpool ,England,Medio Centro Defensivo|Medio Centro,30,Muy bueno,Jordan Henderson
Liverpool ,Netherlands,Medio Centro Defensivo|Medio Centro,29,Muy bueno,Georginio Wijnaldum
Borussia Dortmund ,Belgium,Medio Centro Defensivo|Medio Centro,31,Muy bueno,Axel Witsel
Real Madrid ,Wales,Delantero Centro|Extremo Derecho|Extremo Izquierdo,31,Muy bueno,Gareth Bale
Tottenham Hotspur ,Belgium,LB|Defensa Central,33,Muy bueno,Jan Vertonghen
FC Barcelona ,Croatia,Medio Centro,32,Muy bueno,Ivan Rakitic
Juventus ,Argentina,Delantero Centro,32,Muy bueno,Gonzalo Higuaín
Manchester City ,Brazil,Defensa Central|Medio Centro Defensivo,35,Muy bueno,Fernandinho
Milan ,Sweden,Delantero Centro,38,Muy bueno,Zlatan Ibrahimovic
Manchester United ,England,Delantero Centro|Medio Izquierdo,22,Muy bueno,Marcus Rashford
Leicester City ,Nigeria,Medio Centro Defensivo|Medio Centro,23,Muy bueno,Wilfred Ndidi
FC Bayern München ,France,LB|Defensa Central,24,Muy bueno,Lucas Hernández
FC Bayern München ,France,Medio Derecho|Medio Izquierdo|Extremo Izquierdo,24,Muy bueno,Kingsley Coman
FC Porto ,Brazil,LB,27,Muy bueno,Alex Telles
Borussia Dortmund ,Germany,Medio Izquierdo|Medio Centro|Medio Centro Ofensivo,24,Muy bueno,Julian Brandt
Leicester City ,Portugal,Lateral Derecho,26,Muy bueno,Ricardo Pereira
Atlético Madrid ,Ghana,Medio Centro Defensivo|Medio Centro,27,Muy bueno,Thomas Partey
FC Bayern München ,Germany,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,25,Muy bueno,Leon Goretzka
Atlético Madrid ,Brazil,Defensa Central,31,Muy bueno,Felipe
Chelsea ,Croatia,Medio Centro,26,Muy bueno,Mateo Kovacic
Chelsea ,Italy,Medio Centro Defensivo|Medio Centro,28,Muy bueno,Jorginho
Olympique Lyonnais ,Netherlands,Medio Centro Ofensivo|Media Punta|Extremo Izquierdo,26,Muy bueno,Memphis Depay
Atalanta ,Slovenia,Delantero Centro|Media Punta,32,Muy bueno,Josip Ilicic
Napoli ,Brazil,Medio Centro,29,Muy bueno,Allan
Lazio ,Italy,Defensa Central,32,Muy bueno,Francesco Acerbi
Olympique Lyonnais ,Portugal,Portero,29,Muy bueno,Anthony Lopes
AS Monaco Football Club SA ,France,Delantero Centro,29,Muy bueno,Wissam Ben Yedder
Real Madrid ,Colombia,Medio Derecho|Medio Centro|Medio Centro Ofensivo,29,Muy bueno,James Rodríguez
FC Barcelona ,Brazil,Portero,31,Muy bueno,Neto
Paris Saint-Germain ,Senegal,Medio Centro Defensivo|Medio Centro,30,Muy bueno,Idrissa Gueye
Arsenal ,France,Delantero Centro,29,Muy bueno,Alexandre Lacazette
Napoli ,Greece,Defensa Central,29,Muy bueno,Kostas Manolas
Juventus ,Brazil,LB|Medio Izquierdo,29,Muy bueno,Alex Sandro
Juventus ,Brazil,Medio Izquierdo|Extremo Derecho|Extremo Izquierdo,29,Muy bueno,Douglas Costa
Real Betis ,Spain,Medio Izquierdo|Medio Centro|Medio Centro Ofensivo,29,Muy bueno,Canales
Shanghai SIPG FC ,Brazil,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,28,Muy bueno,Oscar
Manchester City ,Germany,Medio Centro Defensivo|Medio Centro,29,Muy bueno,Ilkay Gündogan
Napoli ,Spain,Medio Derecho|Extremo Derecho,33,Muy bueno,José Callejón
Chelsea ,Spain,Lateral Derecho|LB|Defensa Central,30,Muy bueno,Azpilicueta
FC Barcelona ,Chile,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,33,Muy bueno,Arturo Vidal
Roma ,Bosnia & Herzegovina,Delantero Centro,34,Muy bueno,Edin Dzeko
Sevilla FC ,Argentina,Medio Centro Defensivo|Medio Centro,32,Muy bueno,Éver Banega
Cagliari ,Belgium,Medio Centro|Medio Centro Ofensivo|Media Punta,32,Muy bueno,Radja Nainggolan
Real Madrid ,Brazil,LB,32,Muy bueno,Marcelo
Lazio ,Brazil,Medio Centro Defensivo,33,Muy bueno,Lucas Leiva
Juventus ,France,Medio Centro Defensivo|Medio Centro,33,Muy bueno,Blaise Matuidi
Torino ,Italy,Portero,33,Muy bueno,Salvatore Sirigu
Wolverhampton Wanderers ,Portugal,Medio Centro,33,Muy bueno,João Moutinho
Grêmio ,Brazil,Medio Centro Ofensivo|Extremo Derecho,28,Muy bueno,Ronaldo Cabrais
Grêmio ,Brazil,Defensa Central,28,Muy bueno,Josué Chiamulera
Atlético Mineiro ,Brazil,Delantero Centro|Media Punta,28,Muy bueno,Louri Beretta
Real Sociedad ,Spain,Extremo Derecho|Extremo Izquierdo,23,Muy bueno,Oyarzabal
Napoli ,Spain,Medio Centro,24,Muy bueno,Fabián
Ajax ,Netherlands,Medio Centro|Medio Centro Ofensivo,23,Muy bueno,Donny van de Beek
Roma ,Spain,Portero,25,Muy bueno,Pau López
Getafe CF ,Togo,Defensa Central,28,Muy bueno,Dakonam Djené
SL Benfica ,Portugal,Medio Derecho|Medio Izquierdo,27,Muy bueno,Rafa
