Year;Volcanic Explosivity Index;Volcano Type;Flag Tsunami;Flag Earthquake;Name and country
2006;3;Estratovolcan;F;F;Ecuador (Ecuador)
-3580;6;Estratovolcan;F;F;Luzon-Philippines (Philippines)
-2040;6;Volcan complejo;F;F;New Guinea-NE of (Papua New Guinea)
653;6;Caldera;F;F;New Britain-SW Pac (Papua New Guinea)
683;6;Escudo piroclastico;F;F;New Britain-SW Pac (Papua New Guinea)
950;??;Volcan subglacial;F;F;Iceland-S (Iceland)
1580;3;Respiradero de fisura;F;F;Azores (Portugal)
1581;4;Estratovolcan;F;F;Guatemala (Guatemala)
1608;3;Estratovolcan;T;F;Halmahera-Indonesia (Indonesia)
1625;5;Volcan subglacial;F;F;Iceland-S (Iceland)
1660;4;Estratovolcan;F;F;Banda Sea (Pacific Ocean)
1773;2;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
1779;2;Volcan complejo;F;F;Italy (Italy)
1801;2;Estratovolcan;F;F;Honshu-Japan (Japan)
1804;3;Caldera;F;F;Hokkaido-Japan (Japan)
1820;2;Estratovolcan;T;T;Aleutian Is (United States)
1845;4;Estratovolcan;F;F;Iceland-S (Iceland)
1867;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1870;2;Volcan en escudo;F;F;Vanuatu-SW Pacific (Vanuatu)
1910;??;Caldera;F;F;New Zealand (New Zealand)
1952;??;Volcan complejo;F;F;Honshu-Japan (Japan)
1953;2;Caldera;F;F;Kyushu-Japan (Japan)
1963;3;Estratovolcan;F;F;Costa Rica (Costa Rica)
1974;1;Estratovolcan;T;F;New Guinea-NE of (Papua New Guinea)
1986;2;Estratovolcan;F;F;Java (Indonesia)
1987;3;Volcan complejo;F;F;Guatemala (Guatemala)
1990;??;Escudo piroclastico;F;F;New Britain-SW Pac (Papua New Guinea)
1993;??;Estratovolcan;F;F;Luzon-Philippines (Philippines)
2000;2;Estratovolcan;T;T;Izu Is-Japan (Japan)
2006;1;Estratovolcan;F;F;Luzon-Philippines (Philippines)
2009;??;Estratovolcan;F;F;Alaska-SW (United States)
2016;??;Estratovolcan;F;F;Sumatra (Indonesia)
2018;??;Estratovolcan;F;F;Honshu-Japan (Japan)
2019;2;Estratovolcan;F;F;Italy (Italy)
-1860;6;Estratovolcan;F;F;US-Washington (United States)
230;6;Caldera;F;F;New Zealand (New Zealand)
1169;??;Estratovolcan;T;T;Italy (Italy)
1566;3;Volcan en escudo;F;F;Kyushu-Japan (Japan)
1597;4;Estratovolcan;F;F;Iceland-S (Iceland)
1640;3;Estratovolcan;F;F;Ecuador (Ecuador)
1650;4;Volcan en escudo;T;F;Greece (Greece)
1660;4;Volcan subglacial;F;F;Iceland-S (Iceland)
1672;3;Estratovolcan;F;F;Java (Indonesia)
1679;??;Volcan en escudo;F;T;Red Sea (Yemen)
1717;3;Volcan en escudo;F;F;Kyushu-Japan (Japan)
1741;4;Estratovolcan;T;F;Hokkaido-Japan (Japan)
1753;2;Caldera;F;F;Iceland-NE (Iceland)
1780;4;Estratovolcan;T;F;Kyushu-Japan (Japan)
1817;4;Estratovolcan;F;F;Java (Indonesia)
1833;2;Estratovolcan;F;F;Sumatra (Indonesia)
1841;2;Estratovolcan;F;F;Ryukyu Is (Japan)
1843;0;Estratovolcan;T;F;W Indies (St. Kitts & Nevis)
1871;2;Estratovolcan;T;F;Sangihe Is-Indonesia (Indonesia)
1899;2;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
1900;2;Volcan en escudo;F;F;Kyushu-Japan (Japan)
1928;3;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1937;4;Escudo piroclastico;T;T;New Britain-SW Pac (Papua New Guinea)
1946;2;Estratovolcan;F;F;Kyushu-Japan (Japan)
1953;0;Volcan complejo;T;F;Admiralty Is-SW Paci (Papua New Guinea)
1976;3;Estratovolcan;F;F;Ecuador (Ecuador)
1977;3;Estratovolcan;F;F;Kamchatka (Russia)
1981;??;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1992;1;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
1994;3;Escudo piroclastico;T;F;New Britain-SW Pac (Papua New Guinea)
1997;2;Estratovolcan;F;F;Java (Indonesia)
2005;4;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
2006;??;Estratovolcan;F;F;Kermadec Is (New Zealand)
2014;??;Estratovolcan;F;F;Cape Verde Is (Cape Verde)
2015;2;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
1334;3;Estratovolcan;F;F;Java (Indonesia)
1564;3;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
1711;3;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
1873;??;Volcan complejo;F;F;Italy (Italy)
1877;4;Estratovolcan;F;F;Ecuador (Ecuador)
1892;3;Estratovolcan;T;F;Sangihe Is-Indonesia (Indonesia)
1895;2;Estratovolcan;F;F;Java (Indonesia)
